,Price
0,100.0
1,100.20030394457604
2,100.24005412578119
3,100.01517046366544
4,100.22701974714249
5,100.29836948343441
6,100.25641392293785
7,100.42775496129404
8,100.35605049562636
9,100.02285877664467
10,99.73523273330011
11,99.48303658713664
12,99.42927284112793
13,99.29474629085412
14,99.12461515644067
15,98.95147974515534
16,98.56481065255075
17,98.63165911363092
18,98.36788219793509
19,98.17070094559257
20,97.94288159038483
21,97.95484632922364
22,97.9102875508689
23,97.8049629130785
24,97.52625024485896
25,97.57481903180819
26,97.42948859226904
27,97.47195420876504
28,97.51843026923984
29,97.33491876241835
30,97.40281549118536
31,97.42000917038042
32,97.47775265226436
33,97.22440574871017
34,97.2531269040251
35,97.07876951100017
36,97.0714818359682
37,96.77328331151821
38,96.18397613260157
39,96.02035978877329
40,95.8707858357024
41,95.59114864459455
42,95.86798779734055
43,95.61070654871678
44,95.39104815282796
45,95.39447932551626
46,95.1948753673046
47,94.95078238039395
48,94.6311245935954
49,94.41885164909286
50,94.82874428379596
51,94.59855211952437
52,94.69307909843337
53,94.71282341514707
54,94.51382449087285
55,94.43645777369431
56,94.14576945585947
57,94.06808738209757
58,94.29573402118861
59,94.44573365444231
