,Price
0,100.0
1,100.09112203159567
2,99.89240900332952
3,99.98682204596788
4,100.09336445806731
5,100.17672559278923
6,100.3358600341059
7,100.39455378347333
8,100.10350411473945
9,100.17959865335456
10,99.99213376947036
11,100.30917461426554
12,100.27103054624494
13,100.14244979577691
14,100.30295408486074
15,100.39338385145774
16,100.4880223734363
17,100.2213088760498
18,100.16085010871464
19,99.97772181984958
20,99.98235315614295
21,99.94763419562578
22,100.14655918870307
23,100.14659889254592
24,100.18865331591033
25,100.2574800680287
26,100.38366756556151
27,100.41797722306245
28,100.68096413559218
29,101.1624837581594
30,101.26723841199234
31,101.09129304879835
32,101.2773591656734
33,100.87716471150135
34,100.83743042453467
35,100.59112523952436
36,100.68195275007186
37,100.95010338084715
38,101.00902413351608
39,100.9461529115
40,100.95409302176907
41,100.82013882299186
42,100.61506081955608
43,100.3674713806505
44,100.39644092919293
45,100.32487480347729
46,100.13270423104791
47,99.96398664105104
48,99.68145350695112
49,99.76552895065355
50,99.69385585578758
51,99.8255583795447
52,99.67317160481721
53,99.54447739636272
54,99.87662260582486
55,99.58549623048752
56,99.69589159942072
57,99.5963914869223
58,99.76862044889847
59,99.8784353862271
