,Price
0,100.0
1,100.53568292779076
2,100.63950322686092
3,100.48067453364038
4,100.7986549921661
5,100.73092869591342
6,100.82830932133217
7,100.68305888930091
8,100.50339389772314
9,100.43797519933881
10,100.28973487443913
11,100.56161871728169
12,100.70522251632767
13,101.06346658362133
14,101.10171140511163
15,101.33267860737732
16,101.5986201133963
17,101.56150996323508
18,101.72262077322027
19,101.57963922770259
20,101.4181315158791
21,101.31636672928842
22,101.40615823852181
23,101.61245735423971
24,101.668808438592
25,101.75882543434497
26,101.56978353821977
27,101.72946044631759
28,101.56827544546634
29,101.75697464052224
30,101.83136302368891
31,102.05559805793538
32,101.97435942584377
33,102.01273603058576
34,102.14545912397575
35,102.15329588297746
36,102.3416172743105
37,102.69196459703807
38,103.18710699944364
39,103.12426865496913
40,103.22077598699872
41,103.0529312484332
42,102.88124110474484
43,103.39245954850944
44,103.4749406420697
45,103.74572648038865
46,104.1082317421015
47,104.01397480542761
48,103.8812738232822
49,103.83903816504258
50,103.49520319005558
51,103.68379970832316
52,103.56596345398378
53,104.05080864465052
54,104.11947304840375
55,104.26639390140228
56,104.22641620029489
57,104.57956965149951
58,104.5229942033138
59,104.74364203615629
