,Price
0,100.0
1,100.05880512761733
2,99.86586237489075
3,99.72047834315644
4,99.70239361806277
5,99.60862190655045
6,99.57513096677197
7,99.61005885420067
8,99.71641584746824
9,99.5633991531977
10,99.60272744147862
11,99.62369290817911
12,99.30131622113984
13,99.15857531061553
14,98.74483184923557
15,98.60915591497921
16,98.51445271580353
17,98.06969615415142
18,97.70608053267217
19,97.60162274048237
20,97.25655409061675
21,97.00883380121955
22,97.12117522182506
23,96.89997679225053
24,96.63196261414559
25,96.6081403469507
26,96.87868551923609
27,96.86754955700822
28,96.94886613758253
29,97.23341021385674
30,97.05314302565246
31,96.81819463413235
32,96.45286468446736
33,96.33251309561057
34,96.24315606061624
35,95.9782355633623
36,95.66513535404285
37,95.43317570939762
38,95.46025008766834
39,95.38027687246495
40,95.429445759124
41,95.0861942850553
42,94.90397131196741
43,94.78560014786561
44,94.76096811892505
45,94.81506021776555
46,94.4734720835038
47,94.66340816417431
48,94.8637341523817
49,94.91461134567318
50,94.70474088685394
51,94.53419360872631
52,94.64235952403024
53,94.21949916464213
54,93.89344471652105
55,93.72064808130905
56,93.61739220211567
57,93.71452802618148
58,93.47374399594766
59,93.45337832701921
