,Price
0,100.0
1,100.00513572034515
2,99.84198409645593
3,99.91151566780516
4,99.7810890721786
5,99.90718676462498
6,100.0689020222997
7,100.02600409631572
8,100.13592033499698
9,100.09836891617057
10,100.13945412230717
11,100.12960694575843
12,100.19980991612348
13,100.2532767726657
14,100.28616053364449
15,100.34465804016827
16,100.31678259086239
17,100.38655613728766
18,100.47699098851072
19,100.41252048463653
20,100.49164402680844
21,100.47130215929239
22,100.39291625964088
23,100.2614615005766
24,100.31409617076936
25,100.48558756881366
26,100.5395656616824
27,100.44819594185536
28,100.39207911527983
29,100.43609228445136
30,100.43121636405276
31,100.5700251255877
32,100.62807752100838
33,100.57838794524099
34,100.69361713220371
35,100.6797352675016
36,100.60892784228508
37,100.5724212458798
38,100.5378407074171
39,100.52264154245718
40,100.39546209220136
41,100.37273105589792
42,100.26963322271368
43,100.16949181183212
44,99.92562753091832
45,99.8939156456986
46,99.85942525815918
47,99.86522541330476
48,99.88442165042777
49,99.79905936547654
50,99.81787671932403
51,99.93407279962969
52,100.02415726079474
53,99.90070715398511
54,99.96190449240449
55,100.0936999336334
56,100.12226652668008
57,100.1338807556563
58,100.1969630782074
59,100.2346196755342
