,Price
0,100.0
1,94.51951688219215
2,95.54332647117516
3,91.27682426907315
4,84.44095395059382
5,86.23421075251679
6,97.27655091684349
7,87.5971457808263
8,89.80163235353875
9,96.8778127349294
10,92.63832188114812
11,86.91578340790663
12,85.79234974620553
13,90.59296549325725
14,94.34220922904704
15,88.18332706281659
16,93.70169733014455
17,87.58426688281818
18,92.73446369390575
19,88.15619857046742
20,88.56692478942047
21,79.44491333906494
22,82.412553115015
23,88.79645095140182
24,84.78680922963392
25,85.56460567263244
26,86.96564299609345
27,82.27554068343747
28,80.53903073871078
29,86.26253012295668
30,78.21973502757487
31,82.29617580903381
32,81.54003837202937
33,82.25404504231079
34,80.36770087067666
35,87.38175105044387
36,84.59918423210027
37,87.47098904185357
38,86.83946063645635
39,90.62408657088523
40,89.34092435435996
41,85.77495324208633
42,85.08563707012871
43,89.23429112669209
44,91.26111996957674
45,92.99975241986355
46,90.89331747385894
47,96.84500590043514
48,92.83389688270623
49,90.82039149545625
50,91.08457422817956
51,100.910566829932
52,106.43373997202335
53,110.97654466826857
54,114.73419391476527
55,119.67738435409865
56,113.32362049070844
57,122.218916601309
58,122.80394225665366
59,122.13971013647807
