,Price
0,100.0
1,99.95133977966358
2,99.55691921950283
3,99.21043812160859
4,98.98676447970453
5,99.09006782920974
6,99.23264516110906
7,99.2789240974092
8,99.21447559955587
9,99.03521266631552
10,98.77134809279494
11,98.60019478182785
12,98.69400597079596
13,98.51363141897052
14,98.49113680210417
15,98.5137505905738
16,98.60222765767483
17,98.3884013793269
18,98.50827808567146
19,98.07554701358207
20,97.98358276192889
21,97.49539756523264
22,97.433242934495
23,97.54532811210765
24,97.66731992476697
25,97.81758683802066
26,97.75617644067275
27,97.45950177122872
28,97.49752865157585
29,97.42401307700892
30,97.3273806168787
31,97.16307926825439
32,96.90029498143763
33,96.97128224664198
34,96.93795668953068
35,96.8120569649203
36,96.45720160312142
37,96.2625399487327
38,95.90569796482524
39,96.04286096963553
40,95.9618343825039
41,95.89793882069301
42,95.67857216054202
43,95.50475791737512
44,95.36055797953212
45,95.30454629597223
46,95.08463165000511
47,94.93889487889689
48,94.97360510026235
49,94.89901730837988
50,94.8045994975694
51,95.22440428462757
52,95.29481703701536
53,95.37991315143901
54,95.22156424728703
55,94.83620075366436
56,94.77179320974021
57,94.91597154464768
58,94.96109322247736
59,94.89814886878679
