,Price
0,100.0
1,100.04273373558289
2,100.16928099174902
3,100.32667514981478
4,100.2215644289898
5,100.0996710668319
6,100.40175306222247
7,100.18288959345941
8,100.21825335983121
9,100.21783284214885
10,100.23887333046807
11,99.87566202099522
12,99.72687820553391
13,99.63324352406681
14,100.01153696891757
15,100.29301465437571
16,100.30738200422371
17,100.34436643982636
18,100.42551947132617
19,100.53078284967384
20,100.66787712628799
21,100.91690860378311
22,100.64990709203106
23,100.64494461593124
24,100.70773681098903
25,100.91526001129371
26,100.99963334176735
27,101.28167928559607
28,101.13199180241276
29,101.28360810381373
30,101.27320191254677
31,101.36888026294824
32,101.34575938105783
33,101.07232093646991
34,101.10371904707294
35,100.95568918340412
36,101.09761591924499
37,101.11942034990851
38,100.90287072882955
39,100.9515430310657
40,100.86710367897788
41,100.9054539432162
42,100.91981302992973
43,100.84879223608768
44,100.58432208717792
45,100.50739097116066
46,100.29236406428896
47,100.5293382515241
48,100.72681392603172
49,100.74539325958699
50,100.84840863539607
51,100.71654467095333
52,100.76917422553619
53,100.88438842459114
54,100.8004429910782
55,100.7793581471666
56,100.91912764967914
57,100.90320192246217
58,100.97579582150476
59,101.04975647850152
