,Price
0,100.0
1,100.05111927424394
2,99.66189082267475
3,99.79272774000529
4,99.7842114762675
5,99.80186971747015
6,99.71352998314006
7,99.77218241716096
8,99.81389349622116
9,99.96832635827596
10,99.61237816255606
11,99.41676335218783
12,99.31315841114095
13,99.2512657350839
14,99.42957159999662
15,99.2019542948732
16,99.31511905551234
17,99.55516716083781
18,99.50235763406995
19,99.11398114195018
20,99.15650741088618
21,99.2811503890709
22,99.32691906207248
23,98.94461692298516
24,99.04934557094398
25,99.19962527064862
26,99.17566082520993
27,98.99575985290414
28,99.241006531007
29,99.36659451002816
30,99.04680103354563
31,98.90481169154955
32,98.66770604470014
33,98.31654365038146
34,98.43517632342255
35,98.13165327713993
36,97.80225623777373
37,98.10448339803973
38,97.96004675200223
39,98.08795266480946
40,98.04083309174084
41,98.08454692586092
42,97.80220335910487
43,97.50426040093646
44,97.26327503736825
45,97.17179237701941
46,97.75261234213663
47,97.89315871721668
48,97.68196391764299
49,97.81330102283253
50,97.9867213711698
51,97.93319621014474
52,97.67718658489544
53,97.80341756894735
54,97.83606328810006
55,98.07816345487316
56,98.14655484398911
57,98.34966579905921
58,98.21458741129302
59,98.04887335375011
